,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,565.9311352,553.3457815,548.3360986,551.186454,555.2312256,548.3098161,527.3891852,547.4019219,524.3007077,479.5407273,540.316211,545.3724987,545.8631766,548.45121,579.5785593,552.5860314,552.8973997
3,570.0966913,564.9478405,569.0272964,551.6005824,555.9287883,550.6618817,552.3790031,544.1172594,557.054195,490.7899837,531.4310126,555.8345735,534.4518451,571.1599106,587.0620259,569.0453207,546.0396139
6,573.493952,580.5309038,564.6549992,557.1725379,568.0361026,551.7165556,555.4131204,548.5882236,557.1886952,529.2773581,474.8322156,557.0155612,556.591523,557.0661155,576.4393839,576.3166605,550.7597588
8,577.1271803,571.9312221,569.6811267,569.250482,557.0585036,563.593288,565.9321406,550.4448,584.5199509,537.8873804,471.661013,547.3774347,567.4497019,567.3297792,599.5918704,568.244998,570.0297644
10,588.3229382,582.2715789,568.5142138,560.5189571,564.2678714,568.3708091,564.5902266,565.869235,562.7525362,560.4059999,483.7817558,523.8760232,564.6669915,566.7907731,600.6106393,572.7403057,572.4709463
11,584.1881886,587.0771778,575.3407623,566.5982504,570.5073011,566.3265213,560.0539871,564.2524322,560.9936213,545.8470194,480.1280616,508.6677364,563.020603,565.1337567,603.2525302,573.182081,578.2763562
13,569.3885009,586.1468789,573.2950382,570.3348134,572.7291034,566.9196003,562.0162679,565.0630956,545.319862,495.1288892,467.0513836,521.2298237,565.5621035,573.41532,602.5281107,580.5706866,575.8665553
15,596.3312643,584.8961636,576.598874,589.096763,554.6785757,517.1650888,472.680859,445.3573588,432.5002759,454.9690592,498.5247136,542.2802153,574.5242104,578.0795967,604.4376829,580.9632002,579.082352
16,597.0546785,591.1036379,586.533145,576.796567,567.2862623,541.7435071,507.6431509,476.0957131,457.3708892,445.317935,484.1612718,514.8156802,559.5296303,579.2226688,615.9420803,588.5609884,589.7617957
17,595.9997892,592.9642357,577.9183114,552.1316894,505.4675943,455.5449038,421.2892943,403.3195529,423.5070752,445.2316912,492.3761236,537.6610352,574.3122272,576.5796289,606.5855927,587.7436467,585.4907507
20,608.4994736,606.8191907,582.8754295,514.1451899,482.1996372,411.9339557,394.3906222,356.9215858,375.2123899,400.7966512,469.4023722,494.9194193,559.4234951,575.2317546,626.6205187,596.6824872,588.2822937
