# AoA, cL, cDp, cM
0.000000000000000000e+00,3.799568459237574469e-01,1.002359403601538450e-03,-1.700942671232071046e-01
3.000000000000000000e+00,6.501681381309053487e-01,4.992114738639162608e-04,-1.573324322159272148e-01
6.000000000000000000e+00,9.424281125723615871e-01,1.461417093818787385e-03,-1.665172275799508828e-01
8.000000000000000000e+00,1.115987341544235401e+00,2.067896835615748528e-03,-1.579672304521446136e-01
1.000000000000000000e+01,1.249963636712904780e+00,3.843738918791180480e-03,-1.600714831737595767e-01
1.100000000000000000e+01,1.304463200318329186e+00,4.703977743745832961e-03,-1.479759683750584975e-01
1.300000000000000000e+01,1.378906496267365611e+00,7.375314635711554580e-03,-1.414379251555027417e-01
1.500000000000000000e+01,1.236002317020123975e+00,9.325430558133203721e-03,-1.341705907765208261e-01
1.600000000000000000e+01,1.237820750364934330e+00,1.178475489754135692e-02,-1.387646880403649308e-01
1.700000000000000000e+01,1.139616868172297792e+00,1.406368661295327206e-02,-1.530523135501250243e-01
2.000000000000000000e+01,9.853935497832256862e-01,2.057319139400604763e-02,-1.625942211320161590e-01
